,URL,location,price,align,area,date_pub,date_in,detail,source,payway
0,http://bj.58.com/zufang/27683452603843x.shtml,c,1600,3室1厅1卫 ,25 平, 07-10 ,0,豪华小区住宅位置：北京市角门地铁口附近，公交便利附近周边生活便利，吃饭，买东西，公交地铁出行，打车方便，大型超市，商场，酒吧ktv，小吃一条街。个人25层精装修高档小区出租，带电梯，健身房，房租月付，屋内干净，实体墙，屋内有独立卫生间，独门独户，可以做饭房间设施：所有房间屋内有冰箱，空调，洗衣机，独立卫生间（热水器淋浴，马桶）、双人床、床垫、电脑桌、大衣柜、窗帘、高速独户光纤上网、有线电视，?24小时全天监控。有存车场，汽车停车位，有固定存车位，独立晾晒区。,True,押一付三
1,http://bj.58.com/zufang/31030909050186x.shtml,c,1700,1室1厅1卫 ,20 平, 08-11 ,0,"
可短租
邻地铁
配套齐全
南北通透
有阳台
首次出租
",True,押一付三
2,http://bj.58.com/zufang/30114173375050x.shtml,c,2200,1室1厅0卫 ,20 平, 05-20 ,0,菜市口 烂漫胡同私房 可洗澡做饭 20平米,True,押一付三
3,http://bj.58.com/zufang/31051221667882x.shtml,c,3000,2室1厅1卫 ,40 平, 08-13 ,0,"
可短租
邻地铁
配套齐全
南北通透
首次出租
随时看房
",True,押一付三
